Source_Well,ID_Number,DNA_Length,Concentration
A1,0,4697,30.5
C1,1,4889,42.1
E1,2,2634,42.8
G1,3,713,41.4
I1,4,4697,37.4
K1,5,2060,54.4
M1,6,1287,81.2
O1,7,4696,36.5
A3,8,2272,62.5
C3,9,1033,33.6
E3,10,4697,35.8
G3,11,979,55.4
I3,12,2308,38.5
K3,13,2104,55.3
M3,14,230,40.9
O3,15,832,49.8
A5,16,5261,37.2
C5,17,1770,64.1
E5,18,1764,48.5
G5,19,1233,70.7
I5,20,1770,51.5
K5,21,1764,32.9
M5,22,3715,47.4
O5,23,2023,52.9
A7,24,1807,46.8
C7,25,1815,46.5
E7,26,2023,49.4
G7,27,3724,65.5
I7,28,858,64.3
K7,29,3834,43.9
M7,30,4825,46.8
O7,,,
A9,,,
C9,,,
E9,,,
G9,,,
I9,,,
K9,,,
M9,,,
O9,,,
A11,,,
C11,,,
E11,,,
G11,,,
I11,,,
K11,,,
M11,,,
O11,,,
A13,,,
C13,,,
E13,,,
G13,,,
I13,,,
K13,,,
M13,,,
O13,,,
A15,,,
C15,,,
E15,,,
G15,,,
I15,,,
K15,,,
M15,,,
O15,,,
A17,,,
C17,,,
E17,,,
G17,,,
I17,,,
K17,,,
M17,,,
O17,,,
A19,,,
C19,,,
E19,,,
G19,,,
I19,,,
K19,,,
M19,,,
O19,,,
A21,,,
C21,,,
E21,,,
G21,,,
I21,,,
K21,,,
M21,,,
O21,,,
A23,,,
C23,,,
E23,,,
G23,,,
I23,,,
K23,,,
M23,,,
O23,,,
A2,,,
C2,,,
E2,,,
G2,,,
I2,,,
K2,,,
M2,,,
O2,,,
A4,,,
C4,,,
E4,,,
G4,,,
I4,,,
K4,,,
M4,,,
O4,,,
A6,,,
C6,,,
E6,,,
G6,,,
I6,,,
K6,,,
M6,,,
O6,,,
A8,,,
C8,,,
E8,,,
G8,,,
I8,,,
K8,,,
M8,,,
O8,,,
A10,,,
C10,,,
E10,,,
G10,,,
I10,,,
K10,,,
M10,,,
O10,,,
A12,,,
C12,,,
E12,,,
G12,,,
I12,,,
K12,,,
M12,,,
O12,,,
A14,,,
C14,,,
E14,,,
G14,,,
I14,,,
K14,,,
M14,,,
O14,,,
A16,,,
C16,,,
E16,,,
G16,,,
I16,,,
K16,,,
M16,,,
O16,,,
A18,,,
C18,,,
E18,,,
G18,,,
I18,,,
K18,,,
M18,,,
O18,,,
A20,,,
C20,,,
E20,,,
G20,,,
I20,,,
K20,,,
M20,,,
O20,,,
A22,,,
C22,,,
E22,,,
G22,,,
I22,,,
K22,,,
M22,,,
O22,,,
A24,,,
C24,,,
E24,,,
G24,,,
I24,,,
K24,,,
M24,,,
O24,,,
B1,,,
D1,,,
F1,,,
H1,,,
J1,,,
L1,,,
N1,,,
P1,,,
B3,,,
D3,,,
F3,,,
H3,,,
J3,,,
L3,,,
N3,,,
P3,,,
B5,,,
D5,,,
F5,,,
H5,,,
J5,,,
L5,,,
N5,,,
P5,,,
B7,,,
D7,,,
F7,,,
H7,,,
J7,,,
L7,,,
N7,,,
P7,,,
B9,,,
D9,,,
F9,,,
H9,,,
J9,,,
L9,,,
N9,,,
P9,,,
B11,,,
D11,,,
F11,,,
H11,,,
J11,,,
L11,,,
N11,,,
P11,,,
B13,,,
D13,,,
F13,,,
H13,,,
J13,,,
L13,,,
N13,,,
P13,,,
B15,,,
D15,,,
F15,,,
H15,,,
J15,,,
L15,,,
N15,,,
P15,,,
B17,,,
D17,,,
F17,,,
H17,,,
J17,,,
L17,,,
N17,,,
P17,,,
B19,,,
D19,,,
F19,,,
H19,,,
J19,,,
L19,,,
N19,,,
P19,,,
B21,,,
D21,,,
F21,,,
H21,,,
J21,,,
L21,,,
N21,,,
P21,,,
B23,,,
D23,,,
F23,,,
H23,,,
J23,,,
L23,,,
N23,,,
P23,,,
B2,,,
D2,,,
F2,,,
H2,,,
J2,,,
L2,,,
N2,,,
P2,,,
B4,,,
D4,,,
F4,,,
H4,,,
J4,,,
L4,,,
N4,,,
P4,,,
B6,,,
D6,,,
F6,,,
H6,,,
J6,,,
L6,,,
N6,,,
P6,,,
B8,,,
D8,,,
F8,,,
H8,,,
J8,,,
L8,,,
N8,,,
P8,,,
B10,,,
D10,,,
F10,,,
H10,,,
J10,,,
L10,,,
N10,,,
P10,,,
B12,,,
D12,,,
F12,,,
H12,,,
J12,,,
L12,,,
N12,,,
P12,,,
B14,,,
D14,,,
F14,,,
H14,,,
J14,,,
L14,,,
N14,,,
P14,,,
B16,,,
D16,,,
F16,,,
H16,,,
J16,,,
L16,,,
N16,,,
P16,,,
B18,,,
D18,,,
F18,,,
H18,,,
J18,,,
L18,,,
N18,,,
P18,,,
B20,,,
D20,,,
F20,,,
H20,,,
J20,,,
L20,,,
N20,,,
P20,,,
B22,,,
D22,,,
F22,,,
H22,,,
J22,,,
L22,,,
N22,,,
P22,,,
B24,,,
D24,,,
F24,,,
H24,,,
J24,,,
L24,,,
N24,,,
P24,,,
