,Source Plate,Source Well,Destination Well,Transfer Volume
758,plate_1,P15,A3,25
515,plate_1,F12,A2,1528
514,plate_1,F11,A2,25
513,plate_1,F10,A2,35
512,plate_1,F09,A2,30
510,plate_1,F07,A2,82
509,plate_1,F06,A2,75
508,plate_1,F05,A2,68
507,plate_1,F04,A2,55
506,plate_1,F03,A2,78
505,plate_1,F02,A2,49
504,plate_1,F01,A2,28
494,plate_1,E15,A2,25
492,plate_1,E13,A2,25
491,plate_1,E12,A2,507
490,plate_1,E11,A2,25
489,plate_1,E10,A2,29
488,plate_1,E09,A2,26
487,plate_1,E08,A2,70
486,plate_1,E07,A2,33
485,plate_1,E06,A2,42
484,plate_1,E05,A2,47
483,plate_1,E04,A2,53
482,plate_1,E03,A2,57
481,plate_1,E02,A2,76
480,plate_1,E01,A2,25
516,plate_1,F13,A2,25
517,plate_1,F14,A2,35
518,plate_1,F15,A2,25
528,plate_1,G01,A2,25
563,plate_1,H12,A2,487
562,plate_1,H11,A2,25
561,plate_1,H10,A2,25
560,plate_1,H09,A2,25
559,plate_1,H08,A2,81
558,plate_1,H07,A2,53
557,plate_1,H06,A2,48
556,plate_1,H05,A2,51
555,plate_1,H04,A2,46
554,plate_1,H03,A2,60
553,plate_1,H02,A2,37
552,plate_1,H01,A2,46
470,plate_1,D15,A2,38
542,plate_1,G15,A2,25
540,plate_1,G13,A2,25
539,plate_1,G12,A2,230
538,plate_1,G11,A2,25
537,plate_1,G10,A2,26
536,plate_1,G09,A2,25
535,plate_1,G08,A2,37
534,plate_1,G07,A2,33
533,plate_1,G06,A2,44
532,plate_1,G05,A2,49
531,plate_1,G04,A2,60
530,plate_1,G03,A2,68
529,plate_1,G02,A2,47
541,plate_1,G14,A2,27
469,plate_1,D14,A2,42
468,plate_1,D13,A2,25
467,plate_1,D12,A2,656
418,plate_1,B11,A2,25
417,plate_1,B10,A2,28
416,plate_1,B09,A2,29
415,plate_1,B08,A2,63
414,plate_1,B07,A2,49
413,plate_1,B06,A2,55
412,plate_1,B05,A2,59
411,plate_1,B04,A2,49
410,plate_1,B03,A2,62
409,plate_1,B02,A2,52
408,plate_1,B01,A2,27
398,plate_1,A15,A2,56
419,plate_1,B12,A2,2000
397,plate_1,A14,A2,85
395,plate_1,A12,A2,1341
394,plate_1,A11,A1,25
393,plate_1,A10,A1,26
392,plate_1,A09,A1,32
391,plate_1,A08,A1,34
390,plate_1,A07,A1,60
389,plate_1,A06,A1,66
388,plate_1,A05,A1,56
387,plate_1,A04,A1,55
386,plate_1,A03,A1,90
385,plate_1,A02,A1,49
384,plate_1,A01,A1,35
396,plate_1,A13,A2,28
564,plate_1,H13,A2,25
420,plate_1,B13,A2,30
422,plate_1,B15,A2,44
466,plate_1,D11,A2,25
465,plate_1,D10,A2,27
464,plate_1,D09,A2,40
463,plate_1,D08,A2,46
462,plate_1,D07,A2,42
461,plate_1,D06,A2,49
460,plate_1,D05,A2,39
459,plate_1,D04,A2,37
458,plate_1,D03,A2,52
457,plate_1,D02,A2,42
456,plate_1,D01,A2,25
446,plate_1,C15,A2,79
421,plate_1,B14,A2,145
445,plate_1,C14,A2,38
443,plate_1,C12,A2,726
442,plate_1,C11,A2,25
441,plate_1,C10,A2,30
440,plate_1,C09,A2,25
439,plate_1,C08,A2,40
438,plate_1,C07,A2,50
437,plate_1,C06,A2,56
436,plate_1,C05,A2,56
435,plate_1,C04,A2,48
434,plate_1,C03,A2,79
433,plate_1,C02,A2,60
432,plate_1,C01,A2,25
444,plate_1,C13,A2,25
565,plate_1,H14,A2,26
511,plate_1,F08,A2,60
576,plate_1,I01,A2,68
707,plate_1,N12,A3,357
706,plate_1,N11,A3,28
705,plate_1,N10,A3,29
704,plate_1,N09,A3,30
703,plate_1,N08,A3,29
702,plate_1,N07,A3,48
701,plate_1,N06,A3,44
700,plate_1,N05,A3,54
699,plate_1,N04,A3,41
698,plate_1,N03,A3,77
697,plate_1,N02,A3,54
696,plate_1,N01,A3,92
708,plate_1,N13,A3,65
686,plate_1,M15,A3,37
684,plate_1,M13,A3,26
683,plate_1,M12,A3,787
682,plate_1,M11,A3,25
681,plate_1,M10,A3,25
680,plate_1,M09,A3,30
679,plate_1,M08,A3,34
678,plate_1,M07,A3,43
677,plate_1,M06,A3,39
676,plate_1,M05,A3,49
675,plate_1,M04,A3,37
674,plate_1,M03,A3,36
673,plate_1,M02,A3,49
685,plate_1,M14,A3,43
672,plate_1,M01,A3,38
709,plate_1,N14,A3,68
720,plate_1,O01,A3,64
756,plate_1,P13,A3,33
755,plate_1,P12,A3,25
754,plate_1,P11,A3,474
752,plate_1,P09,A3,26
751,plate_1,P08,A3,26
750,plate_1,P07,A3,43
749,plate_1,P06,A3,39
748,plate_1,P05,A3,55
747,plate_1,P04,A3,43
746,plate_1,P03,A3,38
745,plate_1,P02,A3,76
744,plate_1,P01,A3,50
710,plate_1,N15,A3,30
734,plate_1,O15,A3,25
732,plate_1,O13,A3,25
731,plate_1,O12,A3,530
730,plate_1,O11,A3,25
729,plate_1,O10,A3,983
728,plate_1,O09,A3,29
727,plate_1,O08,A3,82
726,plate_1,O07,A3,41
725,plate_1,O06,A3,43
566,plate_1,H15,A2,25
723,plate_1,O04,A3,60
722,plate_1,O03,A3,45
721,plate_1,O02,A3,104
733,plate_1,O14,A3,39
662,plate_1,L15,A3,25
724,plate_1,O05,A3,38
660,plate_1,L13,A3,27
611,plate_1,J12,A2,641
610,plate_1,J11,A2,26
609,plate_1,J10,A2,34
608,plate_1,J09,A2,665
607,plate_1,J08,A2,59
606,plate_1,J07,A2,49
605,plate_1,J06,A2,45
604,plate_1,J05,A2,41
603,plate_1,J04,A2,44
602,plate_1,J03,A2,58
601,plate_1,J02,A2,720
600,plate_1,J01,A2,41
590,plate_1,I15,A2,25
589,plate_1,I14,A2,25
588,plate_1,I13,A2,25
587,plate_1,I12,A2,342
586,plate_1,I11,A2,25
585,plate_1,I10,A2,27
584,plate_1,I09,A2,32
583,plate_1,I08,A2,60
582,plate_1,I07,A2,53
581,plate_1,I06,A2,58
580,plate_1,I05,A2,45
579,plate_1,I04,A2,40
578,plate_1,I03,A2,49
577,plate_1,I02,A2,43
661,plate_1,L14,A3,44
612,plate_1,J13,A2,25
613,plate_1,J14,A2,175
757,plate_1,P14,A3,72
624,plate_1,K01,A2,26
614,plate_1,J15,A2,25
659,plate_1,L12,A3,324
658,plate_1,L11,A3,38
657,plate_1,L10,A3,25
656,plate_1,L09,A3,25
655,plate_1,L08,A3,43
654,plate_1,L07,A3,43
652,plate_1,L05,A3,47
651,plate_1,L04,A3,40
650,plate_1,L03,A3,89
649,plate_1,L02,A3,442
648,plate_1,L01,A3,117
638,plate_1,K15,A3,25
653,plate_1,L06,A3,42
636,plate_1,K13,A3,25
625,plate_1,K02,A2,172
637,plate_1,K14,A3,26
627,plate_1,K04,A2,38
628,plate_1,K05,A2,35
630,plate_1,K07,A2,37
629,plate_1,K06,A2,35
631,plate_1,K08,A2,49
632,plate_1,K09,A2,25
633,plate_1,K10,A2,25
634,plate_1,K11,A2,25
635,plate_1,K12,A3,376
626,plate_1,K03,A2,55
332,plate_2,N21,A1,25
336,plate_2,O01,A1,25
333,plate_2,N22,A1,32
334,plate_2,N23,A1,33
335,plate_2,N24,A1,31
331,plate_2,N20,A1,32
341,plate_2,O06,A1,32
338,plate_2,O03,A1,25
339,plate_2,O04,A1,36
340,plate_2,O05,A1,31
342,plate_2,O07,A1,35
343,plate_2,O08,A1,43
344,plate_2,O09,A1,42
330,plate_2,N19,A1,42
337,plate_2,O02,A1,26
329,plate_2,N18,A1,30
317,plate_2,N06,A1,32
327,plate_2,N16,A1,33
312,plate_2,N01,A1,26
313,plate_2,N02,A1,25
314,plate_2,N03,A1,25
315,plate_2,N04,A1,31
316,plate_2,N05,A1,28
345,plate_2,O10,A1,41
318,plate_2,N07,A1,28
319,plate_2,N08,A1,33
320,plate_2,N09,A1,45
321,plate_2,N10,A1,37
322,plate_2,N11,A1,37
323,plate_2,N12,A1,29
324,plate_2,N13,A1,25
325,plate_2,N14,A1,29
326,plate_2,N15,A1,31
328,plate_2,N17,A1,41
346,plate_2,O11,A1,41
360,plate_2,P01,A1,27
348,plate_2,O13,A1,42
369,plate_2,P10,A1,28
